ENV,Year,Location,PLOT,BLOCK,Plot_ID,GENO,ID,Moisture_per,Protein_unadjusted,SAA_unadjusted,Dietary_Fiber_unadjusted,Total_Starch_unadjusted,Resistance_Starch_unadjusted,Protein_15per_DB_Moisture,SAA_15per_DB_Moisture,Dietary_Fiber_15per_DB_Moisture,Total_Starch_15per_DB_Moisture,Resistance_Starch_15per_DB_Moisture,Protein_digestibility_per
CLEM22,2022,CLEM,1040,1,PSP.22CU.1040,280617,SRR5350049,6.299223157,20.78,NA,25.22,51.84,5.82,19.21,NA,23.31,47.92,5.38,85
CLEM22,2022,CLEM,1042,1,PSP.22CU.1042,477371,SRR5349951,4.904766914,20.97,NA,25.55,48.58,7.59,19.13,NA,23.31,44.31,6.93,85
CLEM22,2022,CLEM,1044,1,PSP.22CU.1044,365419,SRR5349976,4.47428481,21.18,NA,25.32,52.98,7.3,19.24,NA,23,48.13,6.63,84
CLEM22,2022,CLEM,1045,1,PSP.22CU.1045,244175,SRR5350120,4.733086798,19.69,NA,24.43,53.91,6.56,17.93,NA,22.25,49.1,5.98,86
CLEM22,2022,CLEM,1046,1,PSP.22CU.1046,12723,SRR5349861,4.754567972,20.11,NA,23.86,54.72,5.82,18.32,NA,21.73,49.85,5.3,84
CLEM22,2022,CLEM,1047,1,PSP.22CU.1047,CHK_(Carver),NA,5.551700278,20.3,NA,25.4,51.14,7.59,18.63,NA,23.31,46.94,6.97,84
CLEM22,2022,CLEM,1048,1,PSP.22CU.1048,269762,SRR5350093,4.271972007,19.79,NA,24.25,54.4,7.3,17.94,NA,21.99,49.33,6.61,85
CLEM22,2022,CLEM,1051,1,PSP.22CU.1051,505144,SRR5349941,7.071335349,20.83,NA,25.28,55.16,6.56,19.39,NA,23.54,51.36,6.11,85
CLEM22,2022,CLEM,1052,1,PSP.22CU.1052,CHK_(Carver),NA,4.983592059,21.38,NA,25.16,52.86,7.53,19.52,NA,22.97,48.26,6.87,85
CLEM22,2022,CLEM,1053,1,PSP.22CU.1053,499982,SRR5349948,6.145335273,18.44,NA,24.85,52.23,6.76,17.02,NA,22.94,48.21,6.24,86
